Provider,Native Tool Support,Streaming Protocol,Tool Schema Format,Parallel Tool Calls,Tool Chaining,Fallback Required
Anthropic Claude,Yes (tool_use),SSE,Anthropic schema,No (sequential),Yes (multi-step),No
OpenAI GPT,Yes (function_calling),SSE,OpenAI schema,Yes,Limited,No
Google Gemini,Yes (function_calling),SSE,OpenAI compatible,Yes,Limited,No
Mistral,Yes (tool_calls),SSE,OpenAI compatible,Yes,Limited,No
xAI Grok,Limited,SSE,Custom,Limited,No,Yes
Groq,Yes (function_calling),SSE,OpenAI compatible,Yes,Limited,No
DeepSeek,Limited,SSE,Custom,Limited,No,Yes
Ollama (Local),Limited,HTTP/SSE,XML/Custom,No,No,Yes
vLLM,Limited,HTTP/SSE,OpenAI compatible,Yes,Limited,Yes
liteLLM,Provider-dependent,Provider-dependent,Variable,Variable,Variable,Conditional
lmStudio,Limited,WebSocket/SSE,Variable,Variable,Variable,Yes
openRouter,Provider-dependent,Provider-dependent,Variable,Variable,Variable,Conditional
